Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
9,Tony Allen\allento01,SG,35,MEM,62,57,27.4,3.9,8.5,.458,0.2,0.8,.292,3.7,7.7,.475,.471,1.2,2.0,.623,2.3,3.2,5.5,1.3,1.7,0.5,1.5,2.6,9.2
10,Al-Farouq Aminu\aminual01,SF,26,POR,52,23,28.8,2.9,7.4,.389,1.1,3.4,.320,1.8,4.1,.445,.461,1.4,2.0,.699,1.1,6.2,7.4,1.7,1.0,0.7,1.6,1.7,8.2
11,Chris Andersen\anderch01,C,38,CLE,12,0,9.5,0.8,1.8,.409,0.0,0.3,.000,0.8,1.6,.474,.409,0.8,1.2,.714,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3
12,Alan Anderson\anderal01,SF,34,LAC,26,0,11.2,1.1,2.9,.382,0.5,1.6,.317,0.6,1.3,.457,.467,0.5,0.6,.750,0.1,0.8,0.9,0.4,0.1,0.0,0.3,1.1,3.2
13,Justin Anderson\anderju01,SF,23,TOT,65,2,14.8,2.3,5.5,.421,0.7,2.4,.288,1.6,3.1,.525,.485,1.2,1.5,.800,0.9,2.3,3.2,0.7,0.5,0.3,0.8,1.4,6.5
13,Justin Anderson\anderju01,SF,23,DAL,51,2,13.9,2.2,5.4,.401,0.7,2.4,.303,1.5,3.0,.477,.468,1.4,1.7,.795,0.8,2.2,2.9,0.6,0.5,0.3,0.8,1.3,6.5
13,Justin Anderson\anderju01,SF,23,PHI,14,0,18.1,2.8,5.6,.494,0.6,2.4,.235,2.2,3.2,.689,.544,0.7,0.9,.833,1.2,3.0,4.2,1.0,0.4,0.1,1.1,1.8,6.9
14,Kyle Anderson\anderky01,SG,23,SAS,62,12,13.0,1.1,2.6,.440,0.2,0.5,.419,0.9,2.1,.445,.481,0.6,0.7,.804,0.4,2.2,2.6,1.2,0.6,0.4,0.5,0.7,3.1
15,Ryan Anderson\anderry01,PF,28,HOU,68,68,29.8,4.5,10.8,.414,2.8,6.9,.398,1.7,3.8,.442,.542,1.9,2.2,.857,1.6,3.1,4.7,0.9,0.5,0.2,0.8,2.0,13.5
16,Giannis Antetokounmpo\antetgi01,SF,22,MIL,71,71,35.4,8.4,15.9,.525,0.6,2.3,.280,7.7,13.6,.567,.546,5.8,7.4,.781,1.8,6.7,8.5,5.4,1.7,1.9,2.9,3.2,23.1
17,Carmelo Anthony\anthoca01,SF,32,NYK,69,69,34.5,8.2,18.9,.435,2.1,5.7,.361,6.1,13.1,.467,.490,4.2,5.0,.833,0.9,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.7
18,Joel Anthony\anthojo01,C,34,SAS,16,0,5.4,0.5,0.9,.571,0.0,0.0,,0.5,0.9,.571,.571,0.1,0.1,1.000,0.4,0.9,1.4,0.1,0.1,0.3,0.2,0.6,1.1
19,Trevor Ariza\arizatr01,SF,31,HOU,72,72,34.4,4.0,9.8,.405,2.4,6.9,.347,1.6,2.9,.543,.527,1.1,1.6,.732,0.7,5.1,5.8,2.1,1.7,0.3,0.9,1.6,11.4
20,Darrell Arthur\arthuda01,PF,28,DEN,38,7,15.4,2.3,5.1,.451,1.3,2.8,.457,1.1,2.4,.444,.574,0.3,0.3,.846,0.6,2.2,2.8,1.1,0.4,0.5,0.9,1.9,6.2
21,Omer Asik\asikom01,C,30,NOP,31,19,15.5,1.0,2.1,.477,0.0,0.0,,1.0,2.1,.477,.477,0.7,1.3,.590,1.5,3.7,5.3,0.5,0.2,0.3,0.5,1.6,2.7
22,D.J. Augustin\augusdj01,PG,29,ORL,72,20,20.0,2.6,6.7,.385,1.3,3.6,.358,1.3,3.1,.416,.481,1.7,2.1,.808,0.2,1.3,1.5,2.8,0.4,0.0,1.1,1.3,8.1
23,Luke Babbitt\babbilu01,SF,27,MIA,63,50,15.7,1.6,4.1,.395,1.3,3.0,.414,0.4,1.1,.343,.548,0.2,0.2,.733,0.2,2.0,2.2,0.5,0.3,0.2,0.4,1.8,4.7
24,Ron Baker\bakerro01,SG,23,NYK,43,5,13.3,1.3,3.4,.372,0.4,1.4,.317,0.8,2.0,.409,.436,0.5,0.8,.647,0.2,1.4,1.6,1.5,0.6,0.1,0.9,1.2,3.5
25,Wade Baldwin\baldwwa01,PG,20,MEM,24,1,12.9,1.1,3.5,.310,0.1,0.8,.111,1.0,2.8,.364,.321,1.1,1.3,.844,0.3,1.1,1.4,2.0,0.6,0.3,1.3,1.3,3.4
26,Leandro Barbosa\barbole01,SG,34,PHO,67,0,14.4,2.6,5.9,.439,0.5,1.5,.357,2.0,4.4,.466,.483,0.6,0.7,.889,0.2,1.3,1.6,1.2,0.5,0.1,0.7,1.2,6.3
27,J.J. Barea\bareajo01,PG,32,DAL,27,5,22.3,4.0,9.7,.411,1.3,3.9,.333,2.7,5.9,.462,.477,1.4,1.6,.864,0.3,2.1,2.4,5.1,0.4,0.0,1.7,0.8,10.7
28,Harrison Barnes\barneha02,PF,24,DAL,72,72,35.8,7.8,16.7,.470,1.0,2.8,.342,6.9,13.8,.495,.498,3.1,3.6,.857,1.2,4.0,5.2,1.5,0.9,0.2,1.3,1.6,19.7
29,Matt Barnes\barnema02,SF,36,TOT,66,15,24.2,2.5,6.6,.385,1.2,3.7,.332,1.3,2.9,.453,.478,0.9,1.2,.775,1.0,4.4,5.4,2.7,0.6,0.4,1.5,2.5,7.3
29,Matt Barnes\barnema02,SF,36,SAC,54,13,25.3,2.7,7.1,.384,1.3,3.9,.327,1.4,3.2,.453,.474,0.9,1.2,.758,1.0,4.5,5.5,2.8,0.7,0.3,1.5,2.6,7.6
29,Matt Barnes\barnema02,SF,36,GSW,12,2,19.1,1.8,4.4,.396,1.0,2.8,.364,0.8,1.7,.450,.509,1.0,1.2,.857,0.9,4.0,4.9,2.3,0.5,0.6,1.4,2.3,5.5
30,Will Barton\bartowi01,SG,26,DEN,58,19,28.7,4.9,11.1,.444,1.5,4.0,.375,3.4,7.1,.483,.512,2.4,3.2,.749,1.0,3.4,4.4,3.5,0.8,0.5,1.6,1.9,13.8
31,Brandon Bass\bassbr01,PF,31,LAC,47,0,11.4,2.1,3.7,.577,0.0,0.1,.333,2.1,3.7,.581,.580,1.3,1.5,.861,0.8,1.7,2.5,0.4,0.3,0.2,0.6,0.9,5.6
32,Nicolas Batum\batumni01,SG,28,CHO,67,67,34.6,5.1,12.8,.402,1.8,5.4,.339,3.3,7.4,.448,.473,3.2,3.7,.860,0.6,5.9,6.6,5.8,1.1,0.4,2.7,1.5,15.3
33,Jerryd Bayless\bayleje01,PG,28,PHI,3,1,23.7,3.7,10.7,.344,0.7,1.7,.400,3.0,9.0,.333,.375,3.0,3.3,.900,1.0,3.0,4.0,4.3,0.0,0.0,3.0,1.3,11.0
34,Aron Baynes\baynear01,C,30,DET,70,2,15.2,1.8,3.6,.506,0.0,0.0,,1.8,3.6,.506,.506,1.0,1.2,.849,1.4,2.9,4.3,0.4,0.2,0.5,0.6,2.2,4.7
35,Kent Bazemore\bazemke01,SF,27,ATL,67,64,27.4,4.1,10.1,.407,1.2,3.6,.336,2.9,6.4,.447,.467,1.6,2.3,.711,0.6,2.5,3.1,2.4,1.2,0.7,1.7,2.2,11.0
36,Bradley Beal\bealbr01,SG,23,WAS,69,69,34.7,8.2,17.1,.481,2.9,7.3,.405,5.3,9.9,.537,.567,3.7,4.5,.823,0.7,2.5,3.2,3.5,1.1,0.2,2.0,2.2,23.1
37,Malik Beasley\beaslma01,SG,20,DEN,19,0,4.7,1.0,2.3,.432,0.3,0.9,.353,0.7,1.4,.481,.500,0.3,0.4,.750,0.1,0.4,0.5,0.3,0.2,0.0,0.3,0.3,2.6
38,Michael Beasley\beaslmi01,PF,28,MIL,50,5,17.1,4.0,7.3,.544,0.3,0.8,.421,3.6,6.5,.558,.566,1.4,2.0,.727,0.7,2.9,3.6,1.0,0.5,0.5,1.3,1.7,9.7
39,Marco Belinelli\belinma01,SG,30,CHO,67,0,24.4,3.6,8.5,.425,1.4,3.9,.365,2.2,4.6,.476,.509,2.0,2.3,.887,0.2,2.2,2.4,2.0,0.6,0.1,1.0,1.3,10.6
40,DeAndre' Bembry\bembrde01,SF,22,ATL,31,0,9.6,1.3,2.7,.476,0.0,0.5,.000,1.3,2.3,.571,.476,0.2,0.5,.429,0.3,1.1,1.4,0.7,0.2,0.1,0.3,0.5,2.8
41,Dragan Bender\bendedr01,PF,19,PHO,38,0,12.7,1.2,3.3,.371,0.7,2.1,.321,0.5,1.1,.465,.476,0.1,0.2,.375,0.4,1.7,2.2,0.4,0.2,0.5,0.7,1.6,3.2
42,Anthony Bennett\bennean01,PF,23,BRK,23,1,11.5,1.7,4.0,.413,0.6,2.1,.271,1.1,1.9,.568,.484,1.1,1.6,.722,1.1,2.3,3.4,0.5,0.2,0.1,0.5,0.8,5.0
43,Ben Bentil\bentibe01,PF,21,DAL,3,0,3.3,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.3,0.0
